Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_229; lot de 2 Rampes voiture (1 tonne par rampe); ; ; ; 1; 0000-00-00; 77; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; RAMPE1; 
BRICO_O_230; Aspirateur NILFISK multi 20T pour travaux; ; ; ; 1; 0000-00-00; 161; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ASPIRA007; 
BRICO_O_231; Aspirateur NILFISK multi 20T pour travaux; ; ; ; 1; 0000-00-00; 161; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ASPIRA008; 
BRICO_O_232; Chargeur demarreur autonome GYSPACK 810 Permet de demarrer un vehicule; ; ; ; 1; 0000-00-00; 486; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CHARGE002; 
BRICO_O_233; Merlin leborgne 3Kg + Coin anti eclat; NA; MERLIN; LEBORGNE; 1; 0000-00-00; 200; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; MERLIN01; 
BRICO_O_234; set de mesure (palmer, palper, pied a coulisse); ; ; ; 1; 2013-01-30; 101.66; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; MESURE01; 
BRICO_O_235; Paire de treteaux pliable. 200Kg par treteau, Hauteau 640 mm a 1030mm, Largeur 118mm; ; ; ; 1; 2012-12-31; 90.65; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TRETEAUX001; 
BRICO_O_236; Peuceuse d'angle METABO WBE700; ; ; ; 1; 2012-12-31; 440.13; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PERCEANGLE001; 
BRICO_O_237; Diable aluminium repliable 125 kg; NA; 125 Kg; MATADOR; 1; 2012-12-31; 45.44; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DIABLE009; 
BRICO_O_238; DIABLE ESCALIER BAVETTE RABATTABLE ROUE EN ETOILE 250 KG; NA; DIABLE ESCALIER BAVETTE RABATTABLE; REVERT; 1; 2012-12-31; 155.5; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DIABLE010; 
BRICO_O_239; Souffleur a dos STIHL BR500 avec tube de soufflage; ; ; ; 1; 2012-12-31; 730.76; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SOUFLE002; 
BRICO_O_240; Kit de mortaises magnetiques + Rasto LAMELLO INVIS MX Prevoir l'achat des fournitures http://www.lamello.com/fr/accueil/assemblage-du-bois/systeme-invis-mx/invis-mx.html; ; ; ; 1; 2013-01-31; 661; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; KITMORTAISE1; 
